original_smiles,adversarial_smiles,original_predictions,adversarial_predictions,tanimoto_similarities,prediction_changes,original_targets,model_architecture,dataset,GNN_adv_predictions,GNN_orig_predictions,GNN_pred_changes,GNN_attack_success,GREA_adv_predictions,GREA_orig_predictions,GREA_pred_changes,GREA_attack_success,GRIN_adv_predictions,GRIN_orig_predictions,GRIN_pred_changes,GRIN_attack_success,IRM_adv_predictions,IRM_orig_predictions,IRM_pred_changes,IRM_attack_success,LSTM_adv_predictions,LSTM_orig_predictions,LSTM_pred_changes,LSTM_attack_success,RPGNN_adv_predictions,RPGNN_orig_predictions,RPGNN_pred_changes,RPGNN_attack_success,SMILESTransformer_adv_predictions,SMILESTransformer_orig_predictions,SMILESTransformer_pred_changes,SMILESTransformer_attack_success
c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1,N#CCl,-1.051223874092102,1.4329506158828735,0.25,2.4841744899749756,-1.252420343034224,BFGNN,delaney,1.082137107849121,-1.2244126796722412,2.3065497875213623,1,1.4883517026901245,-1.3391722440719604,2.827523946762085,1,0.3719419836997986,-1.147141456604004,1.5190834403038025,1,-0.13884875178337097,-0.22036221623420715,0.08151346445083618,0,1.7089614868164062,-1.2675058841705322,2.9764673709869385,1,1.2054847478866577,-1.5620057582855225,2.76749050617218,1,1.9167402982711792,-0.7848345637321472,2.7015748620033264,1
Oc1cccc(Cl)c1,Oc1cccc(Cl)c1,1.0702747106552124,1.0702747106552124,1.0,0.0,1.1258457820003358,BFGNN,delaney,0.9052369594573975,0.9052369594573975,0.0,0,1.0941131114959717,1.0941131114959717,0.0,0,-0.535657525062561,-0.535657525062561,0.0,0,0.3511465787887573,0.3511465787887573,0.0,0,1.1669524908065796,1.1669524908065796,0.0,0,0.7367329597473145,0.7367329597473145,0.0,0,1.4580574035644531,1.4580574035644531,0.0,0
CCCOC=O,CCCOC=O,1.3407611846923828,1.3407611846923828,1.0,0.0,1.2269461638337888,BFGNN,delaney,1.1424753665924072,1.1424753665924072,0.0,0,1.3900569677352905,1.39005708694458,1.1920928955078125e-07,0,0.4322931468486786,0.4322931468486786,0.0,0,0.4559956192970276,0.4559956192970276,0.0,0,1.3737521171569824,1.3737521171569824,0.0,0,1.2161729335784912,1.2161729335784912,0.0,0,1.9006309509277344,1.9006309509277344,0.0,0
CC(C)CCCO,CC(C)CCCO,0.8665713667869568,0.8665713667869568,1.0,0.0,0.9140164105397679,BFGNN,delaney,0.9628906846046448,0.9628907442092896,5.960464477539063e-08,0,1.1774686574935913,1.1774686574935913,0.0,0,0.19423584640026093,0.19423584640026093,0.0,0,0.3121333122253418,0.3121333122253418,0.0,0,0.987819254398346,0.987819254398346,0.0,0,1.0652692317962646,1.0652692317962646,0.0,0,1.8619657754898071,1.8619657754898071,0.0,0
Oc1cc(Cl)c(Cl)c(Cl)c1Cl,Oc1cc(Cl)c(Cl)c(Cl)c1Cl,0.24589262902736664,0.24589262902736664,1.0,0.0,-0.053658672723281856,BFGNN,delaney,-0.2266315370798111,-0.22663158178329468,4.470348358154297e-08,0,0.044323839247226715,0.044323913753032684,7.450580596923828e-08,0,-0.8150673508644104,-0.8150673508644104,0.0,0,0.017293831333518028,0.017293745651841164,8.568167686462402e-08,0,-0.0787551999092102,-0.0787551999092102,0.0,0,-0.30095168948173523,-0.30095168948173523,0.0,0,-0.11019483208656311,-0.11019483208656311,0.0,0
COC=O,O=COCO,1.782974123954773,1.9413011074066162,0.29411764705882354,0.15832698345184326,1.742076680794716,BFGNN,delaney,1.8437528610229492,1.5406711101531982,0.303081750869751,0,1.7874428033828735,1.9306461811065674,0.14320337772369385,0,0.8208864331245422,0.8047615885734558,0.016124844551086426,0,0.6294696927070618,0.33691030740737915,0.2925593852996826,0,1.7873891592025757,1.739113211631775,0.04827594757080078,0,1.7862513065338135,1.6781381368637085,0.10811316967010498,0,1.9769601821899414,1.9634538888931274,0.013506293296813965,0
C/C=C/C=O,C/C=C/C=O,1.3864089250564575,1.3864089250564575,1.0,0.0,1.6169047794771074,BFGNN,delaney,1.1942853927612305,1.1942856311798096,2.384185791015625e-07,0,1.6542584896087646,1.654258370399475,1.1920928955078125e-07,0,0.36605218052864075,0.36605218052864075,0.0,0,0.10685721784830093,0.10685721784830093,0.0,0,1.7020764350891113,1.7020764350891113,0.0,0,1.423678994178772,1.423678994178772,0.0,0,1.6958216428756714,1.6958216428756714,0.0,0
c1c(O)C2C(=O)C3cc(O)ccC3OC2cc1(OC),O=C1C=CC2(C=C1)C[C@@H](CO)[C@H](Oc1cc3ccccc3cc1O)CO2,0.5586272478103638,-0.07727184891700745,0.12987012987012986,0.6358990967273712,0.0459974179411217,BFGNN,delaney,0.2762294113636017,0.47560760378837585,0.19937819242477417,0,0.15090136229991913,0.4643770456314087,0.31347568333148956,0,-0.8042387366294861,-0.5408768653869629,0.2633618712425232,0,-0.06437800824642181,0.38991713523864746,0.4542951434850693,0,-2.1884117126464844,-0.045764267444610596,2.142647445201874,1,-0.7926265597343445,0.1043725237250328,0.8969990834593773,1,-0.8209155797958374,0.42853957414627075,1.2494551539421082,1
CCC1(CCC(=O)NC1=O)c2ccccc2,CC[C@]1(c2ccccc2)CCC(=O)NC1=O,0.36575034260749817,0.3765442669391632,1.0,0.010793924331665039,0.3377442340890859,BFGNN,delaney,0.43345019221305847,0.43494030833244324,0.0014901161193847656,0,0.5722007155418396,0.6148138642311096,0.04261314868927002,0,-0.5024834275245667,-0.516115128993988,0.013631701469421387,0,0.3513450622558594,0.3497772216796875,0.001567840576171875,0,-0.6548733115196228,0.30912232398986816,0.963995635509491,1,-0.007098637521266937,-0.009060867130756378,0.001962229609489441,0,-0.31073999404907227,0.09187525510787964,0.4026152491569519,0
Ic1cccc2ccccc12,Ic1ccc(I)cc1,-0.6867570281028748,-0.20710398256778717,0.25,0.4796530455350876,-0.7276612182796348,BFGNN,delaney,-0.30173152685165405,-0.8335457444190979,0.5318142175674438,0,-0.498933881521225,-0.5332279205322266,0.03429403901100159,0,-0.4123208820819855,-1.0223366022109985,0.6100157201290131,0,-0.2940956950187683,-0.4080262780189514,0.1139305830001831,0,-0.4934442341327667,-0.5766386389732361,0.08319440484046936,0,-0.14758050441741943,-0.6323869228363037,0.4848064184188843,0,0.24905936419963837,-0.6342199444770813,0.8832793086767197,1
